Rank,Symbol,MarketCap
1,AAPL,3572851277824
2,MSFT,3085547601920
3,NVDA,3052683657216
4,GOOGL,2507303813120
5,GOOG,2504763113472
6,AMZN,2499205136384
7,META,1740620562432
8,TSLA,1301403926528
9,AVGO,1037172146176
10,WMT,792493817856
11,JPM,747798462464
12,LLY,729417187328
13,V,662322937856
14,MA,517369167872
15,UNH,502079356928
16,XOM,481570422784
17,ORCL,475651014656
18,COST,434967773184
19,NFLX,417815920640
20,HD,411748892672
21,PG,389221646336
22,JNJ,368053878784
23,BAC,352382812160
24,CRM,328796405760
25,ABBV,324977033216
26,CVX,278706323456
27,KO,275914555392
28,TMUS,266652794880
29,WFC,259234676736
30,MRK,249979011072
31,CSCO,241355243520
32,ACN,240778526720
33,IBM,238808203264
34,TMO,228639375360
35,AXP,223902892032
36,MS,222457004032
37,ABT,221889478656
38,GE,218571079680
39,BX,216281432064
40,LIN,212423606272
41,NOW,210282233856
42,PEP,208405790720
43,MCD,208049078272
44,DIS,205133807616
45,ISRG,203691655168
46,PM,202438852608
47,GS,200457388032
48,AMD,192886292480
49,QCOM,191155077120
50,ADBE,190421991424
51,PLTR,187913879552
52,CAT,179331973120
53,T,172367593472
54,RTX,171675009024
55,TXN,168404385792
56,INTU,168372879360
57,BLK,166572376064
58,VZ,165817319424
59,SPGI,161793507328
60,DHR,160172343296
61,BKNG,158014685184
62,KKR,154171867136
63,C,153659228160
64,AMGN,153422675968
65,SCHW,151423926272
66,BSX,150861234176
67,PFE,150288580608
68,UNP,150224420864
69,SYK,149166014464
70,AMAT,147683934208
71,NEE,147155976192
72,LOW,146831589376
73,HON,145694507008
74,ANET,145162141696
75,PGR,144367271936
76,UBER,140766707712
77,TJX,140283920384
78,BA,132251615232
79,DE,129791598592
80,ETN,129009090560
81,CMCSA,128483590144
82,COP,127842541568
83,SBUX,123816919040
84,ADP,123285987328
85,FI,122909253632
86,GILD,121137438720
87,PANW,121016401920
88,BMY,119946158080
89,VRTX,118895984640
90,MDT,116457578496
91,NKE,115859849216
92,PLD,110446362624
93,LMT,108971950080
94,CB,108943409152
95,MMC,106514538496
96,ADI,105128370176
97,LRCX,104146010112
98,MU,103061061632
99,GEV,102785867776
100,KLAC,98746982400
101,CRWD,98049024000
102,UPS,97480458240
103,CEG,96526368768
104,SO,91982331904
105,ELV,91771936768
106,ICE,91770716160
107,PH,91011473408
108,MCO,90514014208
109,SHW,90203668480
110,PYPL,89797091328
111,WM,88404877312
112,MO,88302649344
113,EQIX,88157405184
114,DUK,86510256128
115,AMT,86425100288
116,APH,85333073920
117,CME,85232820224
118,WELL,84984725504
119,INTC,84131897344
120,HCA,83565207552
121,MMM,83294183424
122,TT,82430582784
123,ABNB,81951334400
124,CDNS,81626152960
125,SNPS,81227644928
126,CTAS,80938819584
127,MAR,80752926720
128,CI,80551460864
129,AON,80195756032
130,PNC,79563538432
131,CMG,79507120128
132,MSI,78421524480
133,COF,77660372992
134,MDLZ,77543653376
135,FTNT,77319774208
136,ZTS,77104095232
137,ITW,76529950720
138,TDG,75841175552
139,MCK,75497562112
140,AJG,75395547136
141,ORLY,74727776256
142,APD,74554785792
143,USB,74536796160
144,EMR,74010550272
145,REGN,73953771520
146,DELL,72282243072
147,BDX,71805984768
148,RCL,71688740864
149,CVS,71074996224
150,ECL,70844301312
151,CL,70834855936
152,EOG,70750584832
153,NOC,70630760448
154,GD,69472231424
155,RSG,67913273344
156,WMB,67569725440
157,ADSK,67096567808
158,SPG,65279733760
159,FDX,63794204672
160,CSX,63387160576
161,TGT,63192018944
162,TFC,63191261184
163,HLT,62424748032
164,ROP,61726375936
165,BK,61670244352
166,KMI,61050662912
167,MET,59901251584
168,AFL,59652595712
169,CARR,59190083584
170,PCAR,58145472512
171,NSC,57779748864
172,SLB,57463042048
173,VST,57168171008
174,OKE,56645545984
175,AZO,56223895552
176,CPRT,55817179136
177,TRV,55557787648
178,DLR,55402541056
179,PAYX,53170503680
180,NXPI,53004234752
181,FCX,52648947712
182,SRE,52527775744
183,AEP,52383092736
184,PSA,52288626688
185,AMP,52271230976
186,GWW,51752243200
187,JCI,51490840576
188,HWM,51424518144
189,ALL,50929561600
190,DFS,50536128512
191,LULU,50442936320
192,AXON,49731854336
193,ROST,49674108928
194,URI,49506701312
195,COR,49280135168
196,GM,49252614144
197,NEM,49055805440
198,CHTR,49041612800
199,CMI,48871088128
200,PSX,48679014400
201,FANG,47991312384
202,O,47821529088
203,MNST,47371448320
204,NDAQ,47325573120
205,MPC,46829592576
206,MSCI,46769639424
207,D,46696157184
208,AIG,45946826752
209,FICO,45795053568
210,BKR,45696311296
211,DHI,45525630976
212,CTVA,45464403968
213,PWR,45406924800
214,KR,44603072512
215,GLW,44539285504
216,CBRE,44293046272
217,TEL,44147294208
218,FIS,43859701760
219,OXY,43773702144
220,KDP,43542044672
221,DAL,43408052224
222,A,43273355264
223,EW,43185123328
224,KMB,43124047872
225,PRU,42982227968
226,TRGP,42914799616
227,HES,42837647360
228,AME,42690203648
229,VLO,42105802752
230,FAST,41989955584
231,IT,41870815232
232,PEG,41621716992
233,GRMN,41448595456
234,CTSH,40960020480
235,KVUE,40818466816
236,VRSK,40589692928
237,GEHC,40341884928
238,LHX,40211513344
239,EXC,40193200128
240,F,40060841984
241,ODFL,39627362304
242,CCI,38800912384
243,XEL,38589059072
244,OTIS,38116569088
245,IR,37887229952
246,CCL,37406797824
247,IQV,36546838528
248,YUM,36418895872
249,VMC,36204523520
250,KHC,36081635328
251,WAB,35739369472
252,SYY,35674652672
253,ACGL,35584942080
254,HUM,35308118016
255,UAL,34808233984
256,ETR,34768400384
257,RMD,34670276608
258,LEN,34666786816
259,IDXX,34559438848
260,RJF,34471006208
261,PCG,34328428544
262,EFX,34059530240
263,EXR,33966393344
264,DXCM,33915365376
265,DECK,33895270400
266,MTB,33389940736
267,LYV,33363062784
268,STZ,33316921344
269,MLM,33255579648
270,LVS,33227941888
271,WTW,33195433984
